8月9日 下午6点13分  0:01.948  0:00.417	  0:05.423  0:00.513	  0:11.910  0:00.383	  0:20.259  0:00.367	  0:23.848  0:00.331	  0:27.186  0:00.343
8月9日 下午6点25分  0:02.598  0:00.719
8月9日 下午6点26分(2)  0:02.041  0:00.469
8月9日 下午6点26分(3)  0:02.351  0:00.588
8月9日 下午6点26分  0:02.317  0:00.740
8月9日 下午6点28分(2)  0:01.853  0:00.525
8月9日 下午6点28分(3)  0:02.010  0:00.597
8月9日 下午6点28分  0:01.931  0:00.467
8月9日 下午6点29分(2)  0:02.163  0:00.446
8月9日 下午6点29分(3)  0:01.828  0:00.491
8月9日 下午6点29分  0:01.722  0:00.547
8月9日 下午6点37分  0:01.711  0:00.614
8月9日 下午6点38分(2)  0:01.570  0:00.588
8月9日 下午6点38分(3)  0:01.644  0:00.642
8月9日 下午6点38分  0:01.790  0:00.700
8月9日 下午6点42分  0:02.275  0:00.489
8月9日 下午6点45分(2)  0:01.712  0:00.637
8月9日 下午6点45分(3)  0:01.979  0:00.580
8月9日 下午6点45分(4)  0:01.584  0:00.597
8月9日 下午6点45分(5)  0:01.890  0:00.602
8月9日 下午6点45分  0:01.941  0:00.577
8月9日 下午6点48分(2)  0:02.034  0:00.475
8月9日 下午6点48分(3)  0:01.833  0:00.510
8月9日 下午6点48分  0:01.710  0:00.541
8月9日 下午6点49分(2)  0:01.770  0:00.496
8月9日 下午6点49分  0:01.863  0:00.503
8月9日 下午6点52分(2)  0:01.800  0:00.852
8月9日 下午6点52分(3)  0:02.587  0:00.624
8月9日 下午6点52分  0:02.130  0:00.736
8月9日 下午6点53分(2)  0:01.923  0:00.468
8月9日 下午6点53分  0:01.689  0:00.658
8月9日 下午6点54分  0:01.819  0:00.437
8月9日 下午6点55分(2)  0:02.361  0:00.530
8月9日 下午6点55分(3)  0:01.695  0:00.380
8月9日 下午6点55分(4)  0:01.595  0:00.426
8月9日 下午6点55分(5)  0:01.865  0:00.534
8月9日 下午6点55分  0:01.747  0:00.470
